id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,enlightement,extra
"libkf5config-bin","libkf5config-bin","libkf5config-bin","configuration settings framework for Qt","","","1","1","","","","Section=libs; Version=5.116.0-1","","","","","","","",""
"libc6","libc6","libc6","GNU C Library: Shared libraries","","","1","1","","","","Section=libs; Version=2.41-12","","","","","","","",""
"libkf5configcore5","libkf5configcore5","libkf5configcore5","configuration settings framework for Qt","","","1","1","","","","Section=libs; Version=5.116.0-1","","","","","","","",""
"libqt5core5t64","libqt5core5t64","libqt5core5t64","Qt 5 core module","","","1","1","","","","Section=libs; Version=5.15.15+dfsg-6","","","","","","","",""
"libstdc++6","libstdc++6","libstdc++6","GNU Standard C++ Library v3","","","1","1","","","","Section=libs; Version=14.2.0-19","","","","","","","",""
"libgcc-s1","libgcc-s1","libgcc-s1","GCC support library","","","1","1","","","","Section=libs; Version=14.2.0-19","","","","","","","",""
"libidn2-0","libidn2-0","libidn2-0","Internationalized domain names (IDNA2008/TR46) library","","","1","1","","","","Section=libs; Version=2.3.8-2","","","","","","","",""
"libkf5config-data","libkf5config-data","libkf5config-data","configuration settings framework for Qt","","","1","1","","","","Section=libs; Version=5.116.0-1","","","","","","","",""
"libqt5dbus5t64","libqt5dbus5t64","libqt5dbus5t64","Qt 5 D-Bus module","","","1","1","","","","Section=libs; Version=5.15.15+dfsg-6","","","","","","","",""
"shared-mime-info","shared-mime-info","shared-mime-info","FreeDesktop.org shared MIME database and spec","","","1","1","","","","Section=misc; Version=2.4-5+b2","","","","","","","",""
"libdouble-conversion3","libdouble-conversion3","libdouble-conversion3","routines to convert IEEE floats to and from strings","","","1","1","","","","Section=libs; Version=3.3.1-1","","","","","","","",""
"libglib2.0-0t64","libglib2.0-0t64","libglib2.0-0t64","GLib library of C routines","","","1","1","","","","Section=libs; Version=2.84.4-3~deb13u1","","","","","","","",""
"libicu76","libicu76","libicu76","International Components for Unicode","","","1","1","","","","Section=libs; Version=76.1-4","","","","","","","",""
"libpcre2-16-0","libpcre2-16-0","libpcre2-16-0","New Perl Compatible Regular Expression Library - 16 bit runtime files","","","1","1","","","","Section=libs; Version=10.46-1~deb13u1","","","","","","","",""
"libzstd1","libzstd1","libzstd1","fast lossless compression algorithm","","","1","1","","","","Section=libs; Version=1.5.7+dfsg-1","","","","","","","",""
"zlib1g","zlib1g","zlib1g","compression library - runtime","","","1","1","","","","Section=libs; Version=1:1.3.dfsg+really1.3.1-1+b1","","","","","","","",""
"qttranslations5-l10n","qttranslations5-l10n","qttranslations5-l10n","translations for Qt 5","","","1","1","","","","Section=localization; Version=5.15.15-2","","","","","","","",""
"gcc-14-base","gcc-14-base","gcc-14-base","GCC, the GNU Compiler Collection (base package)","","","1","1","","","","Section=libs; Version=14.2.0-19","","","","","","","",""
"","","","","","","","","","","","","libkf5config-bin","libc6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libkf5config-bin","libkf5configcore5","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libkf5config-bin","libqt5core5t64","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libkf5config-bin","libstdc++6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libc6","libgcc-s1","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libc6","libidn2-0","Recommends","#333","1","Recommends","arrow","{}"
"","","","","","","","","","","","","libkf5configcore5","libkf5config-data","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libkf5configcore5","libc6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libkf5configcore5","libqt5core5t64","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libkf5configcore5","libqt5dbus5t64","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libkf5configcore5","libstdc++6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libkf5configcore5","libkf5config-bin","Recommends","#333","1","Recommends","arrow","{}"
"","","","","","","","","","","","","libqt5core5t64","shared-mime-info","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libqt5core5t64","libc6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libqt5core5t64","libdouble-conversion3","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libqt5core5t64","libgcc-s1","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libqt5core5t64","libglib2.0-0t64","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libqt5core5t64","libicu76","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libqt5core5t64","libpcre2-16-0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libqt5core5t64","libstdc++6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libqt5core5t64","libzstd1","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libqt5core5t64","zlib1g","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libqt5core5t64","qttranslations5-l10n","Recommends","#333","1","Recommends","arrow","{}"
"","","","","","","","","","","","","libstdc++6","gcc-14-base","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libstdc++6","libc6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libstdc++6","libgcc-s1","Depends","#333","1","Depends","arrow","{}"
