id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
libghc-unordered-containers-dev,libghc-unordered-containers-dev,libghc-unordered-containers-dev,Efficient hashing-based container types,,,1,1,,,,Section=haskell; Version=0.2.20-3,,,,,,,
libghc-base-dev-4.18.2.1-8e81e,libghc-base-dev-4.18.2.1-8e81e,libghc-base-dev-4.18.2.1-8e81e,unknown,,,1,1,,,,missing in Packages file,,,,,,,
libghc-deepseq-dev-1.4.8.1-9013f,libghc-deepseq-dev-1.4.8.1-9013f,libghc-deepseq-dev-1.4.8.1-9013f,unknown,,,1,1,,,,missing in Packages file,,,,,,,
libghc-hashable-dev-1.4.4.0-fb202,libghc-hashable-dev-1.4.4.0-fb202,libghc-hashable-dev-1.4.4.0-fb202,unknown,,,1,1,,,,missing in Packages file,,,,,,,
libghc-template-haskell-dev-2.20.0.0-54f98,libghc-template-haskell-dev-2.20.0.0-54f98,libghc-template-haskell-dev-2.20.0.0-54f98,unknown,,,1,1,,,,missing in Packages file,,,,,,,
libc6,libc6,libc6,GNU C Library: Shared libraries,,,1,1,,,,Section=libs; Version=2.41-12,,,,,,,
libgmp10,libgmp10,libgmp10,Multiprecision arithmetic library,,,1,1,,,,Section=libs; Version=2:6.3.0+dfsg-3,,,,,,,
libgcc-s1,libgcc-s1,libgcc-s1,GCC support library,,,1,1,,,,Section=libs; Version=14.2.0-19,,,,,,,
libidn2-0,libidn2-0,libidn2-0,Internationalized domain names (IDNA2008/TR46) library,,,1,1,,,,Section=libs; Version=2.3.8-2,,,,,,,
,,,,,,,,,,,,libghc-base-dev-4.18.2.1-8e81e,libghc-unordered-containers-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libghc-deepseq-dev-1.4.8.1-9013f,libghc-unordered-containers-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libghc-hashable-dev-1.4.4.0-fb202,libghc-unordered-containers-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libghc-template-haskell-dev-2.20.0.0-54f98,libghc-unordered-containers-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,libghc-unordered-containers-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libgmp10,libghc-unordered-containers-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libgcc-s1,libc6,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libidn2-0,libc6,Recommends,#333,1,Recommends,{}
,,,,,,,,,,,,libc6,libgmp10,Depends,#333,1,Depends,{}
